Year,Length,Title,Subject,Actor,Actress,Director,Popularity,Awards,Credits
1975,91,Adventures of Sherlock Holmes' Smarter,Comedy,"Wilder, Gene","Kahn, Madeline","Wilder, Gene",42,No,"Adventures of Sherlock Holmes' Smarter: a Wilder, Gene and Kahn, Madeline film’s, directed by Wilder, Gene"
1990,108,Flashback,Comedy,"Hopper, Dennis","Kane, Carol","Amurri, Franco",19,No,"Flashback: a Hopper, Dennis and Kane, Carol film’s, directed by Amurri, Franco"
1977,89,"World's Greatest Lover, The",Comedy,"Wilder, Gene","Kane, Carol","Wilder, Gene",42,No,"World's Greatest Lover, The: a Wilder, Gene and Kane, Carol film’s, directed by Wilder, Gene"
1977,94,Annie Hall,Comedy,"Allen, Woody","Keaton, Diane","Allen, Woody",68,Yes,"Annie Hall: a Allen, Woody and Keaton, Diane film’s, directed by Allen, Woody"
1979,96,Manhattan,Comedy,"Allen, Woody","Keaton, Diane","Allen, Woody",82,Yes,"Manhattan: a Allen, Woody and Keaton, Diane film’s, directed by Allen, Woody"
1986,105,Crimes of the Heart,Comedy,"Shepard, Sam","Keaton, Diane","Beresford, Bruce",84,No,"Crimes of the Heart: a Shepard, Sam and Keaton, Diane film’s, directed by Beresford, Bruce"
1976,109,"I Will, I Will...For Now",Comedy,"Gould, Elliott","Keaton, Diane","Panama, Norman",6,No,"I Will, I Will...For Now: a Gould, Elliott and Keaton, Diane film’s, directed by Panama, Norman"
1972,86,"Play It Again, Sam",Comedy,"Allen, Woody","Keaton, Diane","Ross, Herbert",81,No,"Play It Again, Sam: a Allen, Woody and Keaton, Diane film’s, directed by Ross, Herbert"
1975,82,Love & Death,Comedy,"Allen, Woody","Keaton, Diane",,84,No,
1973,88,Sleeper,Comedy,"Allen, Woody","Keaton, Diane",,59,No,
1972,98,Last of the Red Hot Lovers,Comedy,"Arkin, Alan","Kellerman, Sally","Saks, Gene",40,No,"Last of the Red Hot Lovers: a Arkin, Alan and Kellerman, Sally film’s, directed by Saks, Gene"
1992,79,Blame It on the Bellboy,Comedy,"Moore, Dudley","Kensit, Patsy","Herman, Mark",69,No,"Blame It on the Bellboy: a Moore, Dudley and Kensit, Patsy film’s, directed by Herman, Mark"
1970,90,Quackser Fortune Has a Cousin in the Bronx,Comedy,"Wilder, Gene","Kidder, Margot","Waris, Hussein",49,No,"Quackser Fortune Has a Cousin in the Bronx: a Wilder, Gene and Kidder, Margot film’s, directed by Waris, Hussein"
1987,101,My Life As a Dog,Comedy,"Glanzelius, Anton","Kinnaman, Melinda","Hallstr�m, Lasse",21,No,"My Life As a Dog: a Glanzelius, Anton and Kinnaman, Melinda film’s, directed by Hallstr�m, Lasse"
1984,96,Unfaithfully Yours,Comedy,"Moore, Dudley","Kinski, Nastassia","Zieff, Howard",73,No,"Unfaithfully Yours: a Moore, Dudley and Kinski, Nastassia film’s, directed by Zieff, Howard"
1987,95,Bullseye!,Comedy,"Caine, Michael","Kirkland, Sally","Winner, Michael",8,No,"Bullseye!: a Caine, Michael and Kirkland, Sally film’s, directed by Winner, Michael"
1990,98,Almost an Angel,Comedy,"Hogan, Paul","Kozlowski, Linda","Cornell, John",14,No,"Almost an Angel: a Hogan, Paul and Kozlowski, Linda film’s, directed by Cornell, John"
1986,98,Crocodile Dundee,Comedy,"Hogan, Paul","Kozlowski, Linda","Faiman, Peter",66,No,"Crocodile Dundee: a Hogan, Paul and Kozlowski, Linda film’s, directed by Faiman, Peter"
1990,110,Mystery Train,Comedy,"Nagase, Masatoshi","Kudoh, Youki","Jarmusch, Jim",23,No,"Mystery Train: a Nagase, Masatoshi and Kudoh, Youki film’s, directed by Jarmusch, Jim"
1986,89,True Stories,Comedy,"Goodman, John","Kurtz, Swoosie","Byrne, David",79,No,"True Stories: a Goodman, John and Kurtz, Swoosie film’s, directed by Byrne, David"
1988,98,Plain Clothes,Comedy,"Howard, Arliss","Ladd, Diane","Coolidge, Martha",4,No,"Plain Clothes: a Howard, Arliss and Ladd, Diane film’s, directed by Coolidge, Martha"
1990,101,Funny about Love,Comedy,"Wilder, Gene","Lahti, Christine","Nimoy, Leonard",60,No,"Funny about Love: a Wilder, Gene and Lahti, Christine film’s, directed by Nimoy, Leonard"
1986,84,Stewardess School,Comedy,"Most, Donald","Landers, Judy","Blancato, Ken",28,No,"Stewardess School: a Most, Donald and Landers, Judy film’s, directed by Blancato, Ken"
1978,109,Get Out Your Handkerchiefs,Comedy,"Depardieu, G�rard","Laure, Carole","Blier, Bertrand",78,Yes,"Get Out Your Handkerchiefs: a Depardieu, G�rard and Laure, Carole film’s, directed by Blier, Bertrand"
1986,93,"Golden Child, The",Comedy,"Murphy, Eddie","Lewis, Charlotte","Ritchie, Michael",86,No,"Golden Child, The: a Murphy, Eddie and Lewis, Charlotte film’s, directed by Ritchie, Michael"
1959,88,Carlton-Browne of the F.O.,Comedy,Terry-Thomas,"Lohr, Marie","Boulting, Roy",63,No,"Carlton-Browne of the F.O.: a Terry-Thomas and Lohr, Marie film’s, directed by Boulting, Roy"
1941,95,Mr. & Mrs. Smith,Comedy,"Montgomery, Robert","Lombard, Carole","Hitchcock, Alfred",3,No,"Mr. & Mrs. Smith: a Montgomery, Robert and Lombard, Carole film’s, directed by Hitchcock, Alfred"
1982,101,Losin' It,Comedy,"Cruise, Tom","Long, Shelley","Hanson, Curtis",4,No,"Losin' It: a Cruise, Tom and Long, Shelley film’s, directed by Hanson, Curtis"
1963,118,"Yesterday, Today & Tomorrow",Comedy,"Mastroianni, Marcello","Loren, Sophia","De Sica, Vittorio",73,Yes,"Yesterday, Today & Tomorrow: a Mastroianni, Marcello and Loren, Sophia film’s, directed by De Sica, Vittorio"
1992,98,Secret Admirer,Comedy,"Howell, C. Thomas","Loughlin, Lori",,55,No,
1991,102,Curly Sue,Comedy,"Belushi, Jim","Lynch, Kelly","Hughes, John",2,No,"Curly Sue: a Belushi, Jim and Lynch, Kelly film’s, directed by Hughes, John"
1990,107,Green Card,Comedy,"Depardieu, G�rard","MacDowell, Andie","Weir, Peter",25,No,"Green Card: a Depardieu, G�rard and MacDowell, Andie film’s, directed by Weir, Peter"
1979,129,Being There,Comedy,"Sellers, Peter","MacLaine, Shirley","Ashby, Hal",31,Yes,"Being There: a Sellers, Peter and MacLaine, Shirley film’s, directed by Ashby, Hal"
1967,99,Woman Times Seven,Comedy,"Sellers, Peter","MacLaine, Shirley","De Sica, Vittorio",36,No,"Woman Times Seven: a Sellers, Peter and MacLaine, Shirley film’s, directed by De Sica, Vittorio"
1968,,"Bliss of Mrs. Blossom, The",Comedy,"Booth, James","MacLaine, Shirley","McGrath, Joseph",86,No,"Bliss of Mrs. Blossom, The: a Booth, James and MacLaine, Shirley film’s, directed by McGrath, Joseph"
1990,101,Postcards from the Edge,Comedy,"Quaid, Dennis","MacLaine, Shirley","Nichols, Mike",63,No,"Postcards from the Edge: a Quaid, Dennis and MacLaine, Shirley film’s, directed by Nichols, Mike"
1988,83,Hot to Trot,Comedy,"Goldthwait, Bob","Madsen, Virginia","Dinner, Michael",78,No,"Hot to Trot: a Goldthwait, Bob and Madsen, Virginia film’s, directed by Dinner, Michael"
1977,110,"Goodbye Girl, The",Comedy,"Dreyfuss, Richard","Mason, Marsha","Ross, Herbert",6,Yes,"Goodbye Girl, The: a Dreyfuss, Richard and Mason, Marsha film’s, directed by Ross, Herbert"
1981,86,Polyester,Comedy,Divine,"Massey, Edith",,68,No,
1986,,Matador,Comedy,"Banderas, Antonio","Maura, Carmen","Almod�var, Pedro",34,No,"Matador: a Banderas, Antonio and Maura, Carmen film’s, directed by Almod�var, Pedro"
1989,88,Women on the Verge of a Nervous Breakdown,Comedy,"Banderas, Antonio","Maura, Carmen","Almod�var, Pedro",65,No,"Women on the Verge of a Nervous Breakdown: a Banderas, Antonio and Maura, Carmen film’s, directed by Almod�var, Pedro"
1980,86,Pepi Luci Bom,Comedy,"Rotaeta, F�lix","Maura, Carmen","Almod�var, Pedro",66,No,"Pepi Luci Bom: a Rotaeta, F�lix and Maura, Carmen film’s, directed by Almod�var, Pedro"
1990,110,Modern Love,Comedy,"Benson, Robby","McClanahan, Rue",,18,No,
1992,95,Riff Raff,Comedy,"Carlyle, Robert","McCourt, Emer","Loach, Ken",71,No,"Riff Raff: a Carlyle, Robert and McCourt, Emer film’s, directed by Loach, Ken"
1983,101,"Reuben, Reuben",Comedy,"Conti, Tom","McGillis, Kelly","Miller, Robert Ellis",2,No,"Reuben, Reuben: a Conti, Tom and McGillis, Kelly film’s, directed by Miller, Robert Ellis"
1983,98,Lovesick,Comedy,"Moore, Dudley","McGovern, Elizabeth","Brickman, Marshall",51,No,"Lovesick: a Moore, Dudley and McGovern, Elizabeth film’s, directed by Brickman, Marshall"
1988,106,She's Having a Baby,Comedy,"Hughes, Kevin Bacon","McGovern, Elizabeth",,18,No,
1981,91,So Fine,Comedy,"O'Neal, Ryan","Melato, Mariangela","Bergman, Andrew",17,No,"So Fine: a O'Neal, Ryan and Melato, Mariangela film’s, directed by Bergman, Andrew"
1975,103,"Sunshine Boys, The",Comedy,"Burns, George","Meredith, Lee","Ross, Herbert",35,Yes,"Sunshine Boys, The: a Burns, George and Meredith, Lee film’s, directed by Ross, Herbert"
1988,98,Caddyshack 2,Comedy,"Mason, Jackie","Merrill, Dina","Arkush, Allan",34,No,"Caddyshack 2: a Mason, Jackie and Merrill, Dina film’s, directed by Arkush, Allan"
1991,87,Scenes from a Mall,Comedy,"Allen, Woody","Midler, Bette",,8,No,
1988,90,Big Top Pee-wee,Comedy,"Reubens, Paul","Miller, Penelope Ann","Kleiser, Randal",17,No,"Big Top Pee-wee: a Reubens, Paul and Miller, Penelope Ann film’s, directed by Kleiser, Randal"
1981,97,Arthur,Comedy,"Moore, Dudley","Minnelli, Liza","Gordon, Steve",79,Yes,"Arthur: a Moore, Dudley and Minnelli, Liza film’s, directed by Gordon, Steve"
1980,100,"Fiendish Plot of Dr. Fu Manchu, The",Comedy,"Sellers, Peter","Mirren, Helen","Haggard, Piers",29,No,"Fiendish Plot of Dr. Fu Manchu, The: a Sellers, Peter and Mirren, Helen film’s, directed by Haggard, Piers"
1953,95,How to Marry a Millionaire,Comedy,"Powell, William","Monroe, Marilyn","Negulesco, Jean",65,No,"How to Marry a Millionaire: a Powell, William and Monroe, Marilyn film’s, directed by Negulesco, Jean"
1983,,Hollywood Out-Takes & Rare Footage,Comedy,"Bogart, Humphrey","Monroe, Marilyn",,27,No,
1991,94,Nothing But Trouble,Comedy,"Candy, John","Moore, Demi","Aykroyd, Dan",25,No,"Nothing But Trouble: a Candy, John and Moore, Demi film’s, directed by Aykroyd, Dan"
1986,94,One Crazy Summer,Comedy,"Cusack, John","Moore, Demi","Holland, Savage Steve",61,No,"One Crazy Summer: a Cusack, John and Moore, Demi film’s, directed by Holland, Savage Steve"
1989,110,We're No Angels,Comedy,"De Niro, Robert","Moore, Demi","Jordan, Neil",51,No,"We're No Angels: a De Niro, Robert and Moore, Demi film’s, directed by Jordan, Neil"
1984,102,No Small Affair,Comedy,"Cryer, Jon","Moore, Demi","Schatzberg, Jerry",10,No,"No Small Affair: a Cryer, Jon and Moore, Demi film’s, directed by Schatzberg, Jerry"
1948,89,Return of October,Comedy,"Ford, Glenn","Moore, Terry","Lewis, Joseph H.",35,No,"Return of October: a Ford, Glenn and Moore, Terry film’s, directed by Lewis, Joseph H."
1968,90,"Producers, The",Comedy,"Wilder, Gene","Mostel, Zero","Brooks, Mel",33,No,"Producers, The: a Wilder, Gene and Mostel, Zero film’s, directed by Brooks, Mel"
1980,109,Wholly Moses!,Comedy,"Moore, Dudley","Newman, Laraine","Weis, Gary",25,No,"Wholly Moses!: a Moore, Dudley and Newman, Laraine film’s, directed by Weis, Gary"
1987,103,Beverly Hills Cop II,Comedy,"Murphy, Eddie","Nielsen, Brigitte","Scott, Tony",37,No,"Beverly Hills Cop II: a Murphy, Eddie and Nielsen, Brigitte film’s, directed by Scott, Tony"
1987,91,Young Love: Lemon Popsicle Seven,Comedy,"Katzur, Yftach","Noy, Zachi","Bennett, Walter",47,No,"Young Love: Lemon Popsicle Seven: a Katzur, Yftach and Noy, Zachi film’s, directed by Bennett, Walter"
1955,116,Mister Roberts,Comedy,"Fonda, Henry","Palmer, Betsy","Ford, John",8,Yes,"Mister Roberts: a Fonda, Henry and Palmer, Betsy film’s, directed by Ford, John"
1993,95,Honeymoon in Vegas,Comedy,"Caan, James","Parker, Sarah Jessica","Bergman, Andrew",53,No,"Honeymoon in Vegas: a Caan, James and Parker, Sarah Jessica film’s, directed by Bergman, Andrew"
1986,112,From the Hip,Comedy,"Nelson, Judd","Perkins, Elizabeth","Clark, Bob",36,No,"From the Hip: a Nelson, Judd and Perkins, Elizabeth film’s, directed by Clark, Bob"
1984,102,"Ratings Game, The",Comedy,"DeVito, Danny","Perlman, Rhea","DeVito, Danny",21,No,"Ratings Game, The: a DeVito, Danny and Perlman, Rhea film’s, directed by DeVito, Danny"
1986,89,Water,Comedy,"Caine, Michael","Perrine, Valerie","Clement, Dick",47,No,"Water: a Caine, Michael and Perrine, Valerie film’s, directed by Clement, Dick"
1978,88,Silent Movie,Comedy,"Brooks, Mel","Peters, Bernadette","Brooks, Mel",27,No,"Silent Movie: a Brooks, Mel and Peters, Bernadette film’s, directed by Brooks, Mel"
1989,122,Pink Cadillac,Comedy,"Eastwood, Clint","Peters, Bernadette","Eastwood, Clint",12,No,"Pink Cadillac: a Eastwood, Clint and Peters, Bernadette film’s, directed by Eastwood, Clint"
1979,94,"Jerk, The",Comedy,"Martin, Steve","Peters, Bernadette","Reiner, Carl",22,No,"Jerk, The: a Martin, Steve and Peters, Bernadette film’s, directed by Reiner, Carl"
1986,107,Sweet Liberty,Comedy,"Alda, Alan","Pfeiffer, Michelle","Alda, Alan",12,No,"Sweet Liberty: a Alda, Alan and Pfeiffer, Michelle film’s, directed by Alda, Alan"
1989,104,Married to the Mob,Comedy,"Modine, Matthew","Pfeiffer, Michelle","Demme, Jonathan",8,No,"Married to the Mob: a Modine, Matthew and Pfeiffer, Michelle film’s, directed by Demme, Jonathan"
1985,115,Into the Night,Comedy,"Goldblum, Jeff","Pfeiffer, Michelle","Landis, John",62,No,"Into the Night: a Goldblum, Jeff and Pfeiffer, Michelle film’s, directed by Landis, John"
1990,89,A Chorus of Disapproval,Comedy,"Irons, Jeremy","Pigg, Alexandra","Winner, Michael",0,No,"A Chorus of Disapproval: a Irons, Jeremy and Pigg, Alexandra film’s, directed by Winner, Michael"
1988,94,Her Alibi,Comedy,"Selleck, Tom","Porizkova, Paulina","Beresford, Bruce",80,No,"Her Alibi: a Selleck, Tom and Porizkova, Paulina film’s, directed by Beresford, Bruce"
1972,105,"Hideaways, The",Comedy,"Doran, Johnny","Prager, Sally","Cook, Fielder",42,No,"Hideaways, The: a Doran, Johnny and Prager, Sally film’s, directed by Cook, Fielder"
1965,108,What's New Pussycat,Comedy,"O'Toole, Peter","Prentiss, Paula","Donner, Clive",83,No,"What's New Pussycat: a O'Toole, Peter and Prentiss, Paula film’s, directed by Donner, Clive"
1965,108,What's New Pussycat?,Comedy,"Sellers, Peter","Prentiss, Paula","Donner, Clive",46,No,"What's New Pussycat?: a Sellers, Peter and Prentiss, Paula film’s, directed by Donner, Clive"
1983,98,Packin' It In,Comedy,"Benjamin, Richard","Prentiss, Paula","Taylor, Jud",8,No,"Packin' It In: a Benjamin, Richard and Prentiss, Paula film’s, directed by Taylor, Jud"
1988,90,"Naked Gun: From the Files of Police Squad!, THe",Comedy,"Nielsen, Leslie","Presley, Priscilla","Zucker, David",9,No,"Naked Gun: From the Files of Police Squad!, THe: a Nielsen, Leslie and Presley, Priscilla film’s, directed by Zucker, David"
1988,107,Twins,Comedy,"Schwarzenegger, Arnold","Preston, Kelly","Reitman, Ivan",23,No,"Twins: a Schwarzenegger, Arnold and Preston, Kelly film’s, directed by Reitman, Ivan"
1988,94,"Experts, The",Comedy,"Travolta, John","Preston, Kelly","Thomas, Dave",67,No,"Experts, The: a Travolta, John and Preston, Kelly film’s, directed by Thomas, Dave"
1991,119,New York Stories,Comedy,"Allen, Woody","Questel, Mae","Coppola, Francis Ford",6,No,"New York Stories: a Allen, Woody and Questel, Mae film’s, directed by Coppola, Francis Ford"
1989,84,Police Academy 6: City under Siege,Comedy,"Smith, Bubba","Ramsey, Marion","Bonerz, Peter",29,No,"Police Academy 6: City under Siege: a Smith, Bubba and Ramsey, Marion film’s, directed by Bonerz, Peter"
1988,90,Police Academy 5: Assignment Miami Beach,Comedy,"Gaynes, George","Ramsey, Marion","Myerson, Alan",59,No,"Police Academy 5: Assignment Miami Beach: a Gaynes, George and Ramsey, Marion film’s, directed by Myerson, Alan"
1986,84,Police Academy 3: Back in Training,Comedy,"Guttenberg, Steve","Ramsey, Marion","Paris, Jerry",6,No,"Police Academy 3: Back in Training: a Guttenberg, Steve and Ramsey, Marion film’s, directed by Paris, Jerry"
1990,97,Cadillac Man,Comedy,"Williams, Robin","Reed, Pamela","Donaldson, Roger",28,No,"Cadillac Man: a Williams, Robin and Reed, Pamela film’s, directed by Donaldson, Roger"
1986,104,"Best of Times, The",Comedy,"Williams, Robin","Reed, Pamela","Spottiswoode, Roger",88,No,"Best of Times, The: a Williams, Robin and Reed, Pamela film’s, directed by Spottiswoode, Roger"
1986,98,Summer,Comedy,"Gauthier, Vincent","Riviere, Marie","Rohmer, Eric",11,No,"Summer: a Gauthier, Vincent and Riviere, Marie film’s, directed by Rohmer, Eric"
1987,93,"Planes, Trains & Automobiles",Comedy,"Martin, Steve","Robbins, Laila","Hughes, John",73,No,"Planes, Trains & Automobiles: a Martin, Steve and Robbins, Laila film’s, directed by Hughes, John"
1990,119,Pretty Woman,Comedy,"Gere, Richard","Roberts, Julia","Marshall, Garry",43,No,"Pretty Woman: a Gere, Richard and Roberts, Julia film’s, directed by Marshall, Garry"
1986,111,Gung Ho,Comedy,"Keaton, Michael","Rogers, Mimi","Howard, Ron",59,No,"Gung Ho: a Keaton, Michael and Rogers, Mimi film’s, directed by Howard, Ron"
1989,110,Cousins,Comedy,"Danson, Ted","Rossellini, Isabella",,28,No,
1976,90,Black & White in Color,Comedy,"Carmet, Jean","Rouvel, Catherine","Annaud, Jean-Jacques",24,Yes,"Black & White in Color: a Carmet, Jean and Rouvel, Catherine film’s, directed by Annaud, Jean-Jacques"
1991,98,Another You,Comedy,"Pryor, Richard","Ruehl, Mercedes","Phillips, Maurice",75,No,"Another You: a Pryor, Richard and Ruehl, Mercedes film’s, directed by Phillips, Maurice"
1988,81,"Smallest Show on Earth, The",Comedy,"Sellers, Peter","Rutherford, Margaret","Dearden, Basil",24,No,"Smallest Show on Earth, The: a Sellers, Peter and Rutherford, Margaret film’s, directed by Dearden, Basil"
1990,102,Joe Versus the Volcano,Comedy,"Hanks, Tom","Ryan, Meg","Patrick, John",17,No,"Joe Versus the Volcano: a Hanks, Tom and Ryan, Meg film’s, directed by Patrick, John"
1990,98,"Welcome Home, Roxy Carmichael",Comedy,"Daniels, Jeff","Ryder, Winona","Abrahams, Jim",41,No,"Welcome Home, Roxy Carmichael: a Daniels, Jeff and Ryder, Winona film’s, directed by Abrahams, Jim"
1972,99,Cancel My Reservation,Comedy,"Hope, Bob","Saint, Eva Marie","Bogart, Paul",60,No,"Cancel My Reservation: a Hope, Bob and Saint, Eva Marie film’s, directed by Bogart, Paul"
1966,127,"Russians Are Coming, the Russians Are, The",Comedy,"Reiner, Carl","Saint, Eva Marie","Jewison, Norman",79,Yes,"Russians Are Coming, the Russians Are, The: a Reiner, Carl and Saint, Eva Marie film’s, directed by Jewison, Norman"
1986,103,Ferris Bueller's Day Off,Comedy,"Broderick, Matthew","Sara, Mia","Hughes, John",12,No,"Ferris Bueller's Day Off: a Broderick, Matthew and Sara, Mia film’s, directed by Hughes, John"
1991,90,Basil The Rat,Comedy,"Cleese, John","Scales, Prunella",,9,No,
1979,90,"Fawlty Towers, Gourmet Night, Waldorf Salad & The Kipper & the Corpse",Comedy,"Cleese, John","Scales, Prunella",,46,No,
1991,80,Going Under,Comedy,"Pullman, Bill","Schaal, Wendy","Travis, Mark W.",30,No,"Going Under: a Pullman, Bill and Schaal, Wendy film’s, directed by Travis, Mark W."
1990,83,U S. Sub Standard.,Comedy,"Pullman, Bill","Schaal, Wendy",,27,No,
1986,90,Head Office,Comedy,"Reinhold, Judge","Seymour, Jane","Finkleman, Ken",88,No,"Head Office: a Reinhold, Judge and Seymour, Jane film’s, directed by Finkleman, Ken"
1972,100,Le Charme Discret de la Bourgeoisie,Comedy,"Rey, Fernando","Seyrig, Delphine","Bunuel, Luis",4,Yes,"Le Charme Discret de la Bourgeoisie: a Rey, Fernando and Seyrig, Delphine film’s, directed by Bunuel, Luis"
1986,82,"Whoopee Boys, The",Comedy,"O'Keefe, Michael","Shelley, Carole","Byrum, John",54,No,"Whoopee Boys, The: a O'Keefe, Michael and Shelley, Carole film’s, directed by Byrum, John"
1985,56,Fozzie's Muppet Scrapbook,Comedy,"Berle, Milton","Sills, Beverly",,86,No,
1955,150,Guys & Dolls,Comedy,"Brando, Marlon","Simmons, Jean","Mankiewicz, Joseph L.",70,Yes,"Guys & Dolls: a Brando, Marlon and Simmons, Jean film’s, directed by Mankiewicz, Joseph L."
1988,116,Coming to America,Comedy,"Murphy, Eddie","Sinclair, Madge","Landis, John",11,No,"Coming to America: a Murphy, Eddie and Sinclair, Madge film’s, directed by Landis, John"
1986,93,Ruthless People,Comedy,"DeVito, Danny","Slater, Helen","Abrahams, Jim",84,No,"Ruthless People: a DeVito, Danny and Slater, Helen film’s, directed by Abrahams, Jim"
1987,110,"Secret of My Success, The",Comedy,"Fox, Michael J.","Slater, Helen","Ross, Herbert",5,No,"Secret of My Success, The: a Fox, Michael J. and Slater, Helen film’s, directed by Ross, Herbert"
1988,101,Funny Farm,Comedy,"Chase, Chevy","Smith, Madolyn","Hill, George Roy",30,No,"Funny Farm: a Chase, Chevy and Smith, Madolyn film’s, directed by Hill, George Roy"
1978,103,California Suite,Comedy,"Caine, Michael","Smith, Maggie","Ross, Herbert",11,Yes,"California Suite: a Caine, Michael and Smith, Maggie film’s, directed by Ross, Herbert"
1986,90,French Lesson,Comedy,"Sterling, Alexandre","Snowden, Jane","Gilbert, Brian",29,No,"French Lesson: a Sterling, Alexandre and Snowden, Jane film’s, directed by Gilbert, Brian"
1964,101,A Shot in the Dark,Comedy,"Sellers, Peter","Sommer, Elke","Edwards, Blake",51,No,"A Shot in the Dark: a Sellers, Peter and Sommer, Elke film’s, directed by Edwards, Blake"
1986,96,Clockwise,Comedy,"Cleese, John","Steadman, Alison","Morahan, Christopher",10,No,"Clockwise: a Cleese, John and Steadman, Alison film’s, directed by Morahan, Christopher"
1993,103,Romantic Comedy,Comedy,"Moore, Dudley","Steenburgen, Mary",,8,No,
1987,115,Stakeout,Comedy,"Dreyfuss, Richard","Stowe, Madeleine","Badham, John",13,No,"Stakeout: a Dreyfuss, Richard and Stowe, Madeleine film’s, directed by Badham, John"
1991,112,Defending Your Life,Comedy,"Brooks, Albert","Streep, Meryl","Brooks, Albert",75,No,"Defending Your Life: a Brooks, Albert and Streep, Meryl film’s, directed by Brooks, Albert"
1986,108,Heartburn,Comedy,"Nicholson, Jack","Streep, Meryl","Nichols, Mike",57,No,"Heartburn: a Nicholson, Jack and Streep, Meryl film’s, directed by Nichols, Mike"
1989,99,She-Devil,Comedy,"Begley, Ed, Jr.","Streep, Meryl","Seidelman, Susan",43,No,"She-Devil: a Begley, Ed, Jr. and Streep, Meryl film’s, directed by Seidelman, Susan"
1950,,Father of the Bride,Comedy,"Taylor, Rod","Taylor, Elizabeth","Minnelli, Vincente",54,No,"Father of the Bride: a Taylor, Rod and Taylor, Elizabeth film’s, directed by Minnelli, Vincente"
1991,60,Super Duper Bloopers,Comedy,"Cooper, Gary","Taylor, Elizabeth",,21,No,
1988,101,Mystic Pizza,Comedy,"Moses, William","Taylor, Lili","Petrie, Donald",74,No,"Mystic Pizza: a Moses, William and Taylor, Lili film’s, directed by Petrie, Donald"
1980,97,Marathon,Comedy,"Newhart, Bob","Taylor-Young, Leigh","Cooper, Jackie",76,No,"Marathon: a Newhart, Bob and Taylor-Young, Leigh film’s, directed by Cooper, Jackie"
1988,85,Doin' Time on Planet Earth,Comedy,"Strouse, Nocholas","Thompson, Andrea","Matthau, Charles",44,Yes,"Doin' Time on Planet Earth: a Strouse, Nocholas and Thompson, Andrea film’s, directed by Matthau, Charles"
1985,116,Back to the Future,Comedy,"Fox, Michael J.","Thompson, Lea","Zemeckis, Robert",9,No,"Back to the Future: a Fox, Michael J. and Thompson, Lea film’s, directed by Zemeckis, Robert"
1986,99,Critical Condition,Comedy,"Pryor, Richard","Ticotin, Rachel","Apted, Michael",41,No,"Critical Condition: a Pryor, Richard and Ticotin, Rachel film’s, directed by Apted, Michael"
1985,130,Prizzi's Honor,Comedy,"Nicholson, Jack","Turner, Kathleen","Huston, John",25,Yes,"Prizzi's Honor: a Nicholson, Jack and Turner, Kathleen film’s, directed by Huston, John"
1983,90,"Man with Two Brains, The",Comedy,"Martin, Steve","Turner, Kathleen","Reiner, Carl",68,No,"Man with Two Brains, The: a Martin, Steve and Turner, Kathleen film’s, directed by Reiner, Carl"
1988,121,"Accidental Tourist, The",Comedy,"Hurt, William","Turner, Kathleen",,56,Yes,
1988,90,Cannibal Women in the Avocado Jungle of Death,Comedy,"Primus, Barry","Tweed, Shannon","Lawton, J.F.",56,No,"Cannibal Women in the Avocado Jungle of Death: a Primus, Barry and Tweed, Shannon film’s, directed by Lawton, J.F."
1986,91,Mr Love.,Comedy,"Jackson, Barry","Tyzack, Margaret","Battersby, Roy",10,No,"Mr Love.: a Jackson, Barry and Tyzack, Margaret film’s, directed by Battersby, Roy"
1981,88,Going Ape,Comedy,"Danza, Tony","Walter, Jessica","Kronsberg, Jeremy Joe",65,No,"Going Ape: a Danza, Tony and Walter, Jessica film’s, directed by Kronsberg, Jeremy Joe"
1991,104,Doc Hollywood,Comedy,"Fox, Michael J.","Warner, Julie","Caton-Jones, Michael",64,No,"Doc Hollywood: a Fox, Michael J. and Warner, Julie film’s, directed by Caton-Jones, Michael"
1988,96,Baja Oklahoma,Comedy,"Coyote, Peter","Warren, Lesley Ann","Roth, Bobby",71,No,"Baja Oklahoma: a Coyote, Peter and Warren, Lesley Ann film’s, directed by Roth, Bobby"
1985,97,One Woman or Two,Comedy,"Depardieu, G�rard","Weaver, Sigourney","Vigne, Daniel",64,No,"One Woman or Two: a Depardieu, G�rard and Weaver, Sigourney film’s, directed by Vigne, Daniel"
1984,96,Soggy Bottom U. S. A.,Comedy,"Johnson, Ben","Wedgeworth, Ann","Flicker, Theodore J.",50,No,"Soggy Bottom U. S. A.: a Johnson, Ben and Wedgeworth, Ann film’s, directed by Flicker, Theodore J."
1967,107,Bedazzled,Comedy,"Cook, Peter","Welch, Raquel","Donen, Stanley",67,No,"Bedazzled: a Cook, Peter and Welch, Raquel film’s, directed by Donen, Stanley"
1966,126,"Fortune Cookie, The",Comedy,"Lemmon, Jack","West, Judi","Wilder, Billy",3,Yes,"Fortune Cookie, The: a Lemmon, Jack and West, Judi film’s, directed by Wilder, Billy"
1970,91,Start the Revolution Without Me,Comedy,"Wilder, Gene","Whitelaw, Billie","Yorkin, Bud",62,No,"Start the Revolution Without Me: a Wilder, Gene and Whitelaw, Billie film’s, directed by Yorkin, Bud"
1989,107,Major League,Comedy,"Sheen, Charlie","Whitton, Margaret","Ward, David S.",64,No,"Major League: a Sheen, Charlie and Whitton, Margaret film’s, directed by Ward, David S."
